id	term	preferred_japanese	mora_split	accent_note	common_error	example_japanese	example_reading	review_status
P001	EDT	イーディーティー	イ・ー｜ディ・ー｜ティ・ー	字母逐一；三組等長	黏成一個英文單字	EDTの開発チームです。	イーディーティーの かいはつチームです。	公司慣用念法待確認
P002	HMI	エイチエムアイ	エ・イ・チ｜エ・ム｜ア・イ	三組清楚；不要搶快	H音或I音消失	HMIの開発環境です。	エイチエムアイの かいはつかんきょうです。	一般用法
P003	EDT HMI Studio	イーディーティー・エイチエムアイ・スタジオ	イ・ー｜ディ・ー｜ティ・ー／エ・イ・チ｜エ・ム｜ア・イ／ス・タ・ジ・オ	產品名後停半拍	整串黏住	こちらがEDT HMI Studioです。	こちらが イーディーティー・エイチエムアイ・スタジオです。	公司慣用念法待確認
P004	studio	スタジオ	ス・タ・ジ・オ	四拍平均	把ジオ壓成一拍	一つのスタジオで作業できます。	ひとつの スタジオで さぎょうできます。	一般用法
P005	no-code	ノーコード	ノ・ー｜コ・ー・ド	兩個長音都要保留	念成ノコード	ノーコードで画面を設計します。	ノーコードで がめんを せっけいします。	一般用法
P006	embedded	組み込み	く・み・こ・み	每拍平均	照英文硬念造成不自然	組み込み機器向けのツールです。	くみこみききむけの ツールです。	一般用法
P007	touchscreen	タッチパネル	タ・ッ・チ｜パ・ネ・ル	促音ッ占一拍	省略促音變成タチ	タッチパネルの画面を作成します。	タッチパネルの がめんを さくせいします。	一般用法
P008	interface	インターフェース	イ・ン｜タ・ー｜フェ・ー・ス	ン、兩個長音要清楚	フェース的長音消失	操作インターフェースを設計します。	そうさインターフェースを せっけいします。	一般用法
P009	GUI	ジーユーアイ	ジ・ー｜ユ・ー｜ア・イ	字母逐一	念法前後不一致	GUIを視覚的に設計します。	ジーユーアイを しかくてきに せっけいします。	團隊慣用念法待確認
P010	UI	ユーアイ	ユ・ー｜ア・イ	兩組清楚	念成英語快速連音	UIの構成を確認します。	ユーアイの こうせいを かくにんします。	一般用法
P011	screen	画面	が・め・ん	ン占一拍	省略尾端ン	画面を設計します。	がめんを せっけいします。	一般用法
P012	logic	ロジック	ロ・ジ・ッ・ク	促音ッ占一拍	念成三拍ロジク	ロジックを設定します。	ロジックを せっていします。	一般用法
P013	protocol	通信プロトコル	つ・う・し・ん／プ・ロ・ト・コ・ル	通信的長音與ン要保留	つうしん念太短	通信プロトコルを選択します。	つうしんプロトコルを せんたくします。	一般用法
P014	Modbus	Modbus（モドバス）	モ・ド・バ・ス	四拍平均	英日念法混用	Modbus RTUを使用します。	モドバス アールティーユーを しようします。	產品團隊確認要
P015	RTU	アールティーユー	ア・ー・ル｜ティ・ー｜ユ・ー	字母逐一；長音完整	把ティー縮短	RTUの設定を確認します。	アールティーユーの せっていを かくにんします。	一般用法
P016	serial communication	シリアル通信	シ・リ・ア・ル／つ・う・し・ん	兩詞間不停太久	シリアル念成三拍	シリアル通信に対応しています。	シリアルつうしんに たいおうしています。	產品範圍另依事實表
P017	emulator	エミュレーター	エ・ミュ・レ・ー・タ・ー	拗音ミュ一拍；兩個長音	念成エミユ；漏長音	エミュレーターで動作を確認します。	エミュレーターで どうさを かくにんします。	一般用法
P018	firmware	ファームウェア	ファ・ー・ム｜ウェ・ア	ファ與ウェ各一拍	拆成フア、ウエ	ファームウェアとの連携を確認します。	ファームウェアとの れんけいを かくにんします。	一般用法
P019	deploy	デプロイする	デ・プ・ロ・イ・す・る	ロイ分兩拍	念成ディスプレイ	対応ハードウェアへデプロイします。	たいおうハードウェアへ デプロイします。	產品用語待統一
P020	hardware	ハードウェア	ハ・ー・ド｜ウェ・ア	長音與ウェ要清楚	念成ハドウエア	対応ハードウェアを確認します。	たいおうハードウェアを かくにんします。	一般用法
P021	support	サポート	サ・ポ・ー・ト	ポー長兩拍	長音消失	サポート範囲は個別に確認します。	サポートはんいは こべつに かくにんします。	一般用法
