id	stage	intent_zh	japanese	reading_kana	keywords	caution	source_doc	tags
F001	survival	感謝對方撥空	本日はお時間をいただき、ありがとうございます。	ほんじつ は / おじかん を いただき、/ ありがとうございます。//	本日,時間,感謝	開場微笑後停一拍	02_SURVIVAL_JAPANESE.md	survival,greeting
F002	survival	自我介紹姓名與職責	EDTの王と申します。海外事業を担当しております。	イー・ディー・ティー の / おう と もうします。/ かいがい じぎょう を たんとう して おります。//	申します,担当	替換真實姓名與職責	02_SURVIVAL_JAPANESE.md	survival,introduction
F003	survival	說明會議順序	最初に製品をご紹介し、その後、デモと質疑応答を行います。	さいしょ に せいひん を ごしょうかい し、/ そのご、/ デモ と しつぎ おうとう を おこないます。//	最初,その後,質疑応答	先講順序再開始	02_SURVIVAL_JAPANESE.md	survival,agenda
F004	survival	邀請隨時提問	ご質問があれば、いつでもお知らせください。	ごしつもん が あれば、/ いつでも おしらせ ください。//	質問,いつでも	說完後看向聽眾	02_SURVIVAL_JAPANESE.md	survival,questions
F005	survival	請對方重說	申し訳ありません。もう一度お願いできますか。	もうしわけ ありません。/ もう いちど / おねがい できます か。//	もう一度,お願いします	不要假裝聽懂	23_LISTENING_REPAIR_AND_VARIANTS.md	survival,listening,repair
F006	survival	請對方放慢	もう一度、少しゆっくりお願いできますか。	もう いちど、/ すこし ゆっくり / おねがい できます か。//	ゆっくり,もう一度	語氣平穩即可	23_LISTENING_REPAIR_AND_VARIANTS.md	survival,listening,slow
F007	survival	只重說最後一段	恐れ入りますが、最後の部分をもう一度お願いできますか。	おそれいります が、/ さいご の ぶぶん を / もう いちど おねがい できます か。//	最後,部分	已懂前段時不要要求全題重來	23_LISTENING_REPAIR_AND_VARIANTS.md	survival,listening,repair
F008	survival	確認問題主題	ご質問は、価格について、という理解でよろしいでしょうか。	ごしつもん は、/ かかく に ついて、/ と いう りかい で よろしい でしょう か。//	質問,理解,価格	把價格替換成實際主題	02_SURVIVAL_JAPANESE.md	survival,clarify
F009	survival	把多段問題拆開	二つに分けてお答えします。	ふたつ に わけて / おこたえ します。//	二つ,分ける	先重述兩個主題	02_SURVIVAL_JAPANESE.md	survival,structure
F010	survival	爭取幾秒思考	少し考える時間をいただけますか。	すこし かんがえる じかん を / いただけます か。//	考える,時間	不要用很長的填充音	02_SURVIVAL_JAPANESE.md	survival,thinking
F011	survival	查看手邊資料	正確にお答えするため、手元の資料を確認します。	せいかく に おこたえ する ため、/ てもと の しりょう を かくにん します。//	正確,資料,確認	只查看已核對資料	02_SURVIVAL_JAPANESE.md	survival,accuracy
F012	survival	先說結論	結論から申し上げます。	けつろん から / もうしあげます。//	結論,申し上げる	後面立刻接直接答案	02_SURVIVAL_JAPANESE.md	survival,direct
F013	survival	限定現行範圍	現時点で確認できる範囲をご説明します。	げんじてん で / かくにん できる はんい を / ごせつめい します。//	現時点,範囲	避免把未來功能混進來	02_SURVIVAL_JAPANESE.md	survival,scope
F014	survival	區分未來與現在	計画にはありますが、現在の提供機能ではありません。	けいかく に は あります が、/ げんざい の ていきょう きのう では / ありません。//	計画,現在	roadmap不等於承諾	02_SURVIVAL_JAPANESE.md	survival,future,boundary
F015	survival	不知道時不猜	現時点では正確にお答えできません。	げんじてん では / せいかく に おこたえ できません。//	正確,回答	不能只停在不知道；接下一張	02_SURVIVAL_JAPANESE.md	survival,unknown
F016	survival	承諾確認與日期	担当チームに確認し、九月五日までに回答いたします。	たんとう チーム に かくにん し、/ くがつ いつか まで に / かいとう いたします。//	担当,確認,日付	日期必須換成真實可做到的日期	02_SURVIVAL_JAPANESE.md	survival,followup
F017	survival	回答後接回主線	では、先ほどの要点に戻ります。	では、/ さきほど の ようてん に / もどります。//	要点,戻る	先完整回答再接回	02_SURVIVAL_JAPANESE.md	survival,transition
F018	survival	Demo失敗時控場	現在の画面では確認できないため、確認済みの資料に切り替えます。	げんざい の がめん では / かくにん できない ため、/ かくにんずみ の しりょう に / きりかえます。//	確認済み,切り替える	承認失敗，不找藉口	02_SURVIVAL_JAPANESE.md	survival,demo,recovery
F019	pitch	一句產品定位	EDT HMI Studioは、組み込みHMI向けのビジュアル開発環境です。	イー・ディー・ティー エイチ・エム・アイ スタジオ は、/ くみこみ エイチ・エム・アイ むけ の / ビジュアル かいはつ かんきょう です。//	組み込みHMI,開発環境	不要擴大成任何需求都免程式	03_PITCH_30_SECONDS.md	pitch,positioning
F020	pitch	說明整合流程	画面設計、ロジック、機器通信、検証、展開までを、一つのプロジェクトでつなぎます。	がめん せっけい、ロジック、きき つうしん、けんしょう、てんかい まで を、/ ひとつ の プロジェクト で つなぎます。//	画面設計,通信,検証,展開	這是流程連結，不是所有硬體保證	03_PITCH_30_SECONDS.md	pitch,workflow
F021	pitch	描述工程分散問題	組み込みHMI開発は、複数の工程やツールに分かれがちです。	くみこみ エイチ・エム・アイ かいはつ は、/ ふくすう の こうてい や ツール に / わかれがち です。//	工程,ツール,分断	不要自行加成本百分比	04_PITCH_2_MINUTES.md	pitch,problem
F022	pitch	說明同一專案價值	同じプロジェクトで作業をつなぐことで、受け渡しを減らし、問題を早く見つけやすくします。	おなじ プロジェクト で さぎょう を つなぐ こと で、/ うけわたし を へらし、/ もんだい を はやく みつけやすく します。//	受け渡し,早期発見	說容易做到，不保證量化成果	04_PITCH_2_MINUTES.md	pitch,value,qualify
F023	pitch	五步驟之一設計	まず、画面を設計します。	まず、/ がめん を せっけい します。//	まず,画面,設計	設計的促音要留一拍	04_PITCH_2_MINUTES.md	pitch,five_steps,design
F024	pitch	五步驟之二邏輯	次に、動作とロジックを定義します。	つぎ に、/ どうさ と ロジック を / ていぎ します。//	次に,動作,ロジック	一句只講一個步驟	04_PITCH_2_MINUTES.md	pitch,five_steps,logic
F025	pitch	五步驟之三連接	そして、機器通信とタグを設定します。	そして、/ きき つうしん と タグ を / せってい します。//	通信,タグ,設定	不要省略設定的促音	04_PITCH_2_MINUTES.md	pitch,five_steps,connect
F026	pitch	五步驟之四驗證	生成したアプリケーションをEmulatorで確認します。	せいせい した アプリケーション を / エミュレーター で かくにん します。//	生成,Emulator,確認	Emulator不是實機證明	04_PITCH_2_MINUTES.md	pitch,five_steps,validate
F027	pitch	五步驟之五展開	最後に、対応ハードウェア向けにビルドして展開します。	さいご に、/ たいおう ハードウェア むけ に / ビルド して てんかい します。//	最後,対応,展開	一定保留対応ハードウェア	04_PITCH_2_MINUTES.md	pitch,five_steps,deploy
